method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
VanillaMC,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
FairMC,alternating_groups,0.17087237699435634,0.8681318681318682,0.79,0.1,0.9,31.884697939470872
EPIRA-Break,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
EPIRA-Full,alternating_groups,0.05331726419127638,0.012087912087912045,0.02000000000000013,0.1,0.9,31.884697939470872
Epsilon-Break,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Epsilon-Full,alternating_groups,0.010584408882363311,0.7538461538461538,0.74,0.1,0.9,31.884697939470872
AVG,alternating_groups,0.07268612703853437,0.0,0.0,0.2,0.8,28.41041254939433
Worst,alternating_groups,0.1743650961307553,0.0,0.0,0.2,0.8,28.41041254939433
Fair-Break,alternating_groups,0.005841378485701092,0.0,0.0,0.2,0.8,28.41041254939433
Fair-Full,alternating_groups,0.002145747417878047,0.9388888888888889,0.77,0.2,0.8,28.41041254939433
VanillaMC,alternating_groups,0.01643042614645813,0.0,0.0,0.2,0.8,28.41041254939433
FairMC,alternating_groups,0.17303444908784585,0.3580246913580247,0.29000000000000004,0.2,0.8,28.41041254939433
EPIRA-Break,alternating_groups,0.01894446380190662,0.0,0.0,0.2,0.8,28.41041254939433
EPIRA-Full,alternating_groups,0.048058758625864215,0.0,0.0,0.2,0.8,28.41041254939433
Epsilon-Break,alternating_groups,0.017080424750636345,0.0,0.0,0.2,0.8,28.41041254939433
Epsilon-Full,alternating_groups,0.012355932198473195,0.745679012345679,0.6799999999999999,0.2,0.8,28.41041254939433
AVG,alternating_groups,0.07302359561860124,0.0,0.0,0.3,0.7,24.944276899378583
Worst,alternating_groups,0.26675198006404416,0.0,0.0,0.3,0.7,24.944276899378583
Fair-Break,alternating_groups,0.005841378485701092,0.0,0.0,0.3,0.7,24.944276899378583
Fair-Full,alternating_groups,0.00041953395269559395,0.9892018779342723,0.77,0.3,0.7,24.944276899378583
VanillaMC,alternating_groups,0.05061425989729989,0.0,0.0,0.3,0.7,24.944276899378583
FairMC,alternating_groups,0.1731606141280095,0.8450704225352113,0.6000000000000001,0.3,0.7,24.944276899378583
EPIRA-Break,alternating_groups,0.07302359561860124,0.0,0.0,0.3,0.7,24.944276899378583
EPIRA-Full,alternating_groups,0.044043031583656,0.0,0.0,0.3,0.7,24.944276899378583
Epsilon-Break,alternating_groups,0.07459446530938772,0.0,0.0,0.3,0.7,24.944276899378583
Epsilon-Full,alternating_groups,0.06517849378562196,0.7793427230046949,0.65,0.3,0.7,24.944276899378583
AVG,alternating_groups,0.1025107265952703,0.0,0.0,0.4,0.6,21.476150786029915
Worst,alternating_groups,0.26675198006404416,0.0,0.0,0.4,0.6,21.476150786029915
Fair-Break,alternating_groups,0.001965331512531838,0.0,0.0,0.4,0.6,21.476150786029915
Fair-Full,alternating_groups,0.00017727011377350008,0.9852459016393442,0.6399999999999999,0.4,0.6,21.476150786029915
VanillaMC,alternating_groups,0.017439959175737357,0.0,0.0,0.4,0.6,21.476150786029915
FairMC,alternating_groups,0.26649926040271077,0.21311475409836067,0.1299999999999999,0.4,0.6,21.476150786029915
EPIRA-Break,alternating_groups,0.02126089521742361,0.0,0.0,0.4,0.6,21.476150786029915
EPIRA-Full,alternating_groups,0.046272302879013585,0.0,0.0,0.4,0.6,21.476150786029915
