method,dataset,TIE_BLOCKS,TIE_TYPE,GFR,NDKL_Value,ULOSS_Value,WULOSS_Value
Epsilon-Full,skewed_groups,1,Bottom,28.41896990257186,0.1289870358528355,0.7083950617283951,0.6839999999999999
Epsilon-Full,skewed_groups,1,Interleaved,28.068118422293196,0.1289870358528355,0.7377777777777779,0.704
Epsilon-Full,skewed_groups,1,Top,28.41896990257186,0.1289870358528355,0.7493827160493828,0.702
Epsilon-Full,skewed_groups,2,Bottom,21.834086632463748,0.1289870358528355,0.6808064516129032,0.6519999999999999
Epsilon-Full,skewed_groups,2,Interleaved,21.834086632463748,0.1289870358528355,0.7661290322580645,0.6839999999999999
Epsilon-Full,skewed_groups,2,Top,21.834086632463748,0.1289870358528355,0.7930645161290323,0.6759999999999999
Epsilon-Full,skewed_groups,3,Bottom,14.588297085551636,0.1289870358528355,0.6458139534883721,0.614
Epsilon-Full,skewed_groups,3,Interleaved,14.894570726021781,0.1289870358528355,0.7320930232558139,0.634
Epsilon-Full,skewed_groups,3,Top,15.200844366491925,0.1289870358528355,0.8076744186046512,0.638
Epsilon-Full,skewed_groups,4,Bottom,8.028936618816033,0.1289870358528355,0.6766666666666666,0.588
Epsilon-Full,skewed_groups,4,Interleaved,8.664320092247518,0.1289870358528355,0.7337499999999999,0.596
Epsilon-Full,skewed_groups,4,Top,8.577676891325043,0.1289870358528355,0.8150000000000001,0.606
Epsilon-Full,skewed_groups,5,Bottom,1.6635494577115235,0.1289870358528355,0.5479999999999999,0.5479999999999999
Epsilon-Full,skewed_groups,5,Interleaved,2.081941005060066,0.1289870358528355,0.6173684210526316,0.546
Epsilon-Full,skewed_groups,5,Top,1.6635494577115235,0.1289870358528355,0.5479999999999999,0.5479999999999999
Fair-Break,alternating_groups,1,Bottom,27.72582429519206,0.17406878655013855,0.0,0.0
Fair-Break,alternating_groups,1,Interleaved,28.068118422293196,0.17322144422398728,0.0,0.0
Fair-Break,alternating_groups,1,Top,28.41041254939433,0.005841378485701092,0.0,0.0
Fair-Break,alternating_groups,2,Bottom,20.458975185565112,0.17354341652499145,0.0,-2.220446049250313e-16
Fair-Break,alternating_groups,2,Interleaved,21.129761257222984,0.16996367913243893,0.0,0.0
Fair-Break,alternating_groups,2,Top,21.800547328880853,0.001965331512531838,0.0,0.0
Fair-Break,alternating_groups,3,Bottom,13.218125536079937,0.17239976461822343,0.0,-2.220446049250313e-16
Fair-Break,alternating_groups,3,Interleaved,14.185305453354077,0.19962590641004663,0.0,0.0
Fair-Break,alternating_groups,3,Top,15.152485370628217,0.0008216796057638265,0.0,0.0
Fair-Break,alternating_groups,4,Bottom,6.0650240645732625,0.16852371764505417,0.0,0.0
Fair-Break,alternating_groups,4,Interleaved,7.220266743539598,0.11650544373752299,0.0,0.0
Fair-Break,alternating_groups,4,Top,8.375509422505933,0.0002963095806166986,0.0,0.0
Fair-Break,alternating_groups,5,Bottom,0.0,0.0,0.0,0.0
Fair-Break,alternating_groups,5,Interleaved,0.6933765542848239,0.0,0.0,0.0
Fair-Break,alternating_groups,5,Top,0.0,0.0,0.0,0.0
Fair-Break,skewed_groups,1,Bottom,28.41896990257186,0.4826029492624594,0.0,0.0
Fair-Break,skewed_groups,1,Interleaved,28.068118422293196,0.4565234657658598,0.0,0.0
Fair-Break,skewed_groups,1,Top,28.41896990257186,0.4826029492624594,0.0,0.0
Fair-Break,skewed_groups,2,Bottom,21.834086632463748,0.4826029492624594,0.0,-2.220446049250313e-16
Fair-Break,skewed_groups,2,Interleaved,21.834086632463748,0.4826029492624594,0.0,0.0
Fair-Break,skewed_groups,2,Top,21.834086632463748,0.4826029492624594,0.0,0.0
Fair-Break,skewed_groups,3,Bottom,14.588297085551636,0.4565234657658598,0.0,-2.220446049250313e-16
Fair-Break,skewed_groups,3,Interleaved,14.894570726021781,0.4565234657658598,0.0,0.0
Fair-Break,skewed_groups,3,Top,15.200844366491925,0.4565234657658598,0.0,0.0
Fair-Break,skewed_groups,4,Bottom,8.028936618816033,0.4565234657658598,0.0,0.0
Fair-Break,skewed_groups,4,Interleaved,8.664320092247518,0.4826029492624594,0.0,0.0
