method,dataset,NDKL_Value,ULOSS_Value,TIE_BLOCKS,TIE_TYPE,WULOSS_Value,GFR
Fair-Full,skewed_groups,0.008436852467590529,0.84,5,Top,0.84,1.6635494577115235
VanillaMC,skewed_groups,0.4709932158204606,0.0,5,Top,0.0,1.6635494577115235
FairMC,skewed_groups,0.17666625941461694,0.7,5,Top,0.7,1.6635494577115235
EPIRA-Break,skewed_groups,0.4552419003214175,0.0,5,Top,0.0,1.6635494577115235
EPIRA-Full,skewed_groups,0.22322637949904475,0.1200000000000001,5,Top,0.11999999999999988,1.6635494577115235
Epsilon-Break,skewed_groups,0.4539318016752762,0.0,5,Top,0.0,1.6635494577115235
Epsilon-Full,skewed_groups,0.1626719473837206,0.45999999999999996,5,Top,0.45999999999999996,1.6635494577115235
AVG,skewed_groups,0.4826029492624594,0.0,1,Bottom,0.0,28.41896990257186
Worst,skewed_groups,0.4826029492624594,0.0,1,Bottom,0.0,28.41896990257186
Fair-Break,skewed_groups,0.4826029492624594,0.0,1,Bottom,0.0,28.41896990257186
Fair-Full,skewed_groups,0.0,0.9839506172839506,1,Bottom,0.93,28.41896990257186
VanillaMC,skewed_groups,0.4826029492624594,0.0,1,Bottom,0.0,28.41896990257186
FairMC,skewed_groups,0.1440561340997429,0.9876543209876543,1,Bottom,0.8,28.41896990257186
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,1,Bottom,0.0,28.41896990257186
EPIRA-Full,skewed_groups,0.2317451881683128,0.6790123456790124,1,Bottom,0.55,28.41896990257186
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,1,Bottom,0.0,28.41896990257186
Epsilon-Full,skewed_groups,0.16026595221408227,0.7333333333333334,1,Bottom,0.67,28.41896990257186
AVG,skewed_groups,0.4826029492624594,0.0,2,Bottom,-2.220446049250313e-16,21.834086632463748
Worst,skewed_groups,0.4826029492624594,0.0,2,Bottom,-2.220446049250313e-16,21.834086632463748
Fair-Break,skewed_groups,0.4826029492624594,0.0,2,Bottom,-2.220446049250313e-16,21.834086632463748
Fair-Full,skewed_groups,0.0,0.975,2,Bottom,0.88,21.834086632463748
VanillaMC,skewed_groups,0.4826029492624594,0.0,2,Bottom,-2.220446049250313e-16,21.834086632463748
FairMC,skewed_groups,0.14546900689192344,0.9838709677419355,2,Bottom,0.8,21.834086632463748
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,2,Bottom,-2.220446049250313e-16,21.834086632463748
EPIRA-Full,skewed_groups,0.2317451881683128,0.8870967741935484,2,Bottom,0.5499999999999999,21.834086632463748
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,2,Bottom,-2.220446049250313e-16,21.834086632463748
